Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
7.0,2.0,0.93,0.31,6.0,2.0
8.0,6.0,1.53,0.06,6.0,2.0
7.0,10.0,0.16,1.12,1.0,2.0
8.0,10.0,2.13,0.1,2.0,1.0
9.0,8.0,1.78,0.05,4.0,1.0
2.0,3.0,0.86,1.05,1.0,3.0
12.0,3.0,1.05,0.41,1.0,0.0
15.0,0.0,2.4,0.0,2.0,1.0
5.0,9.0,2.03,0.0,6.0,1.0
6.0,0.0,1.37,0.14,1.0,0.0
8.0,0.0,1.33,0.13,4.0,2.0
12.0,4.0,1.95,0.59,1.0,2.0
6.0,4.0,1.93,0.0,1.0,2.0
7.0,10.0,0.58,0.04,1.0,2.0
7.0,10.0,2.13,0.01,6.0,2.0
2.0,9.0,1.58,0.08,1.0,0.0
10.0,6.0,1.65,0.0,2.0,1.0
7.0,8.0,2.53,0.06,4.0,2.0
7.0,4.0,2.08,0.15,1.0,2.0
7.0,10.0,0.05,0.64,1.0,2.0
7.0,0.0,2.08,0.46,4.0,2.0
8.0,10.0,0.6,0.05,1.0,2.0
12.0,3.0,2.32,0.0,6.0,2.0
9.0,8.0,1.37,0.17,4.0,2.0
7.0,8.0,1.93,0.03,6.0,2.0
7.0,6.0,2.02,0.0,6.0,0.0
4.0,0.0,2.38,0.46,1.0,1.0
7.0,8.0,2.18,0.03,6.0,2.0
2.0,9.0,1.6,0.1,1.0,0.0
16.0,8.0,2.25,0.0,4.0,1.0
16.0,0.0,2.32,0.0,4.0,1.0
7.0,0.0,1.56,0.07,4.0,1.0
7.0,0.0,1.23,0.05,4.0,1.0
7.0,8.0,1.9,0.1,6.0,1.0
15.0,10.0,0.71,0.02,1.0,2.0
15.0,8.0,2.66,0.05,4.0,2.0
15.0,0.0,2.11,0.12,4.0,2.0
15.0,0.0,2.85,0.03,4.0,2.0
8.0,8.0,1.31,0.27,4.0,2.0
7.0,10.0,0.59,0.04,1.0,2.0
15.0,8.0,2.15,0.02,4.0,1.0
15.0,0.0,2.21,0.02,6.0,2.0
15.0,8.0,2.1,0.04,4.0,2.0
16.0,8.0,2.78,0.0,4.0,2.0
2.0,3.0,2.1,0.01,2.0,1.0
2.0,3.0,0.59,0.73,1.0,2.0
15.0,8.0,2.4,0.03,4.0,2.0
9.0,0.0,0.84,0.07,4.0,1.0
7.0,2.0,1.55,0.33,6.0,1.0
16.0,8.0,2.14,0.01,4.0,2.0
9.0,0.0,1.1,0.49,4.0,2.0
6.0,0.0,1.13,0.0,6.0,0.0
7.0,0.0,1.75,0.02,6.0,2.0
8.0,4.0,1.83,0.06,1.0,2.0
15.0,0.0,2.04,0.0,2.0,1.0
7.0,10.0,0.46,0.05,1.0,2.0
6.0,3.0,1.56,0.19,1.0,0.0
16.0,8.0,2.14,0.0,6.0,1.0
9.0,7.0,1.01,0.81,6.0,2.0
8.0,8.0,0.88,0.1,4.0,2.0
7.0,8.0,1.45,0.12,6.0,1.0
7.0,0.0,1.47,0.03,6.0,0.0
2.0,0.0,1.4,0.74,2.0,2.0
7.0,8.0,1.99,0.05,4.0,2.0
16.0,8.0,1.98,0.03,4.0,2.0
15.0,0.0,1.9,0.01,4.0,2.0
7.0,0.0,1.5,0.05,6.0,2.0
13.0,4.0,1.21,0.95,1.0,2.0
8.0,6.0,0.74,0.4,1.0,2.0
7.0,0.0,1.89,0.02,4.0,1.0
2.0,5.0,0.61,0.82,2.0,2.0
16.0,10.0,0.9,0.0,1.0,2.0
9.0,10.0,2.35,0.0,1.0,2.0
12.0,3.0,1.35,0.46,1.0,0.0
16.0,10.0,0.72,0.0,1.0,2.0
5.0,9.0,1.05,0.0,6.0,0.0
10.0,0.0,1.48,0.04,4.0,2.0
8.0,1.0,1.28,0.12,4.0,2.0
7.0,0.0,1.78,0.09,6.0,0.0
10.0,7.0,1.35,0.8,6.0,2.0
15.0,3.0,2.15,0.01,6.0,2.0
7.0,9.0,2.06,0.38,1.0,2.0
0.0,9.0,0.55,1.41,1.0,0.0
4.0,9.0,1.92,0.99,1.0,2.0
7.0,10.0,0.68,0.0,1.0,2.0
12.0,3.0,1.06,0.76,1.0,1.0
6.0,0.0,1.7,0.02,1.0,2.0
0.0,0.0,1.41,0.46,1.0,2.0
2.0,4.0,1.21,0.06,1.0,2.0
8.0,7.0,1.53,0.1,4.0,2.0
